,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,x,x,,,,x,,,,,,,x,x,,,,,,,,,,x,x,x,,,,,,,x,,,x,x,x,,,,,,,,,x,x,x,x,,,,x,x,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,x,,,xx,,,x,,,,,,x,,,x,,,,,,,,,x,,,x,,,,,,x,,,x,,,x,,,,,,,,x,,,,x,,x,,,x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,x,x,,,,x,,,x,,,x,,,,,,x,,,,,,,x,x,,,,x,,,,x,,,,,x,,,x,,,,,,x,x,,,,x,,,,,,x,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,x,,,x,x,x,x,,,x,x,x,,,,x,,,,,,x,,,,,,x,,,,x,,,x,x,x,,,x,x,x,,,x,,,x,,,x,x,x,,,,x,x,x,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,x,,,,x,,x,x,x,x,,,x,,,,x,,x,,,x,,,x,,,,,,x,,,,,,x,,,,x,,x,,,x,,,x,,,,,x,x,x,,,,x,,,,,,x,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,x,,,,x,,x,,,x,,,x,,,,x,,x,,,x,,,x,,,,x,,x,,,x,,,x,,,,x,,x,,,x,,,x,,,,,x,,,,,,x,,,,,,x,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,b,,,,b,,,b,b,b,,,b,b,b,b,,,b,b,b,,,,,b,b,b,,,,b,b,,,,b,b,b,b,,,,b,b,b,,,b,b,b,b,,,b,b,b,,,b,,,,,,b,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,x,,,,x,,x,,,,,,x,x,x,,,,,,,,x,,,,,,x,,,x,,,x,,,,,,x,,,,,,x,,,x,,,,,,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,x,,,,x,,x,,,,,,,x,,,,,,,,,x,,,,,,x,,,x,,,x,,,,,,x,,,,,,x,,,x,x,,,,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,x,,x,,,,,,,x,,,x,,,,,,x,,,x,,,x,,x,,,,x,,,,,,x,,,,,,x,,,x,,x,,x,,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,x,,,,,,,x,x,x,,,x,x,x,x,x,,x,x,x,,,,,x,,,|,,,,,,x,,,|,,,x,x,,,,,x,,x,,,,x,,,,,,x,,,x,,,x,,,x,,x,x,,x,,,,,,,,
,,,,,,,,,,,,,,,,,,x,,,x,x,,x,,,x,,,x,,,,x,,x,,,x,,,,x,,,x,,,x,,,x,,,x,,,x,,x,,,,x,x,,,,,x,,,,,,x,,,x,,,,,,x,,x,,x,,x,,,,,,,
,,,,,,,,,,,,,,,,,,x,,,,x,,x,,,x,,,x,,,,x,,x,,,x,,,,x,,,x,,,x,,,x,,,x,,,x,,,x,,,x,,x,,,,x,,,,x,,x,,,x,,,,,,x,,x,,x,,x,,,,,,,
,,,,,,,,,,,,,,,,,,,b,b,b,,,,b,b,b,,,b,,,,b,,b,,,b,,,b,b,b,,b,,,,b,b,,,,b,,,b,,,b,,,b,,b,,,,b,b,b,b,,,b,,,b,,,,,,b,,b,,b,,b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,x,x,x,,,,,,,,,x,x,x,,,,,,,,,,,x,x,x,,,,,,,,,x,x,x,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,x,,,,x,,,,,,,,x,,,x,,,,,,,,,x,,,,x,,,,,,,,x,,,,x,,,,,,,x,,,x,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,x,x,,,,x,,,,,,,,x,,,,x,,,,,,,,x,,,x,,,,,,,,,x,,,,x,,,,,,,,x,,,,x,,,,,,,x,,,,,,x,x,x,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,x,,x,,,x,,x,x,x,,,,x,,,,x,,,x,x,,,,x,x,x,,,,,x,x,,,,x,,,,x,,,x,x,,,,x,x,x,x,,,,x,x,,,,x,x,,,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,x,,,x,,x,,x,,,x,,,x,,,,x,,x,,,x,,,x,,,,,,x,,,x,,,x,,,,x,,x,,,x,,,x,,,x,,,x,,,,,,,,x,,,x,x,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,x,,,,x,x,,x,,,x,,,x,,,,x,,x,,,x,,,x,,,,,,x,,,x,,,x,,,,x,,x,,,x,,,x,,,,x,,x,,,,x,,,,x,,,,,x,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,b,,,,,b,,b,,,b,,,,b,b,b,,,,b,b,,,,b,,,,,,b,b,b,,,,,b,b,b,,,,b,b,b,,,b,,,,b,,b,,,,,b,b,b,,,b,b,b,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,x,,,,x,,,,,,,,x,,,,,x,,,,,,,,x,,,,,,x,,,,,,,,,x,,,,x,,,,,,,,xx,,,,x,,,,,,,,,x,x,x,x,,,,,
,,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,x,,,,,,,,x,,,,,x,,,,,,,,x,,,,,,x,,,,,,,,,x,,,,x,,,,,,,,xx,,,,x,,,,,,,,x,,,,x,,,,,
,,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,x,,,,,,,,x,,,,,x,,x,,,x,,,x,,,,,,x,,,,,,,,,,x,,x,,,x,,,,x,,xx,,,,x,,,,,,,,,,,x,,,x,x,x,
,,,,,,,,,,,,,,,,x,,,,x,x,x,,,x,,,,x,,x,,,x,,,x,,,,,x,,x,,,x,,,x,,,x,,,x,,x,,x,,x,,,,,x,,,,,x,,x,,,,x,,x,,,x,,,x,,,,,x,,,,,,,x
,,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,x,,x,,,x,,,x,,,,,x,,x,,,x,,,x,,,x,,,x,,x,,x,,x,,,,x,,x,,,,,x,,,,,,x,,,,x,,,x,,,,x,,,,,,x,x,
,,,,,,,,,,,,,,,,x,,,,x,,x,,,x,,,,x,,x,,,x,,,,x,,,x,,,x,,x,,,,,x,,x,,x,,,x,,x,,x,,,x,,,,x,,,x,,x,,,,,x,,,,x,,,x,,,x,,,,,,x,,,
,,,,,,,,,,,,,,,,b,,,,b,b,,,,,b,b,b,,,,b,b,b,,,,,b,b,,,,,b,,,,,,,b,,b,,,,,b,,b,,,,b,,,,b,,b,,,,b,,,,b,,,,,b,b,b,,,b,b,b,b,b,,x,b,b,b
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,x,x,x,x,,,,x,x,,,,,x,x,x,,,,,x,x,x,,,,,,,x,,,,,x,x,x,,,,x,x,x,,,,x,x,x,x,x,,,,x,x,x,,,,,x,x,x,,,,,,,,,,x,,,x,x,x,,,,x,
,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,x,,,,x,,,x,,,,x,,,,,x,x,,,,x,,,,,,x,,,,x,,,,,,,x,,,x,,,,x,,,x,,,,x,,,,,,,,,x,,x,,,,x,,,/,
,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,x,,,,,,,,x,,,,x,,x,,,,x,,,,,,x,,,,,,,,,,x,,,,x,,,,x,,,x,,,,x,,,,,,,,,x,,,,,,x,,,|,
,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,x,,,,,,,x,x,,,,x,,,x,,,,,x,x,x,,,x,x,x,x,,,,,,x,,,,,,x,x,x,,,,,x,x,x,x,,,,,,,,,x,,,,,x,,,,|,
,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,x,,,,,,,,,,x,,,x,x,x,x,x,,,,,,x,,,x,,,,x,,,,x,,,,,,x,,,,x,,,,,,,x,,,,,,,,,x,,,,x,,,,,|,
,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,x,,,,,,,x,,,,x,,,,,,x,,,,x,,,x,,,x,,,,x,,,,x,,,,,,x,,,,x,,,x,,,,x,,,,,,,,,|,,,,|,,,,,|,
,,,,,,,,,,,,,,,b,b,b,b,,,,b,b,b,,,b,b,b,b,b,,,,b,b,b,,,,,,,b,,,,,b,b,,,,,b,b,b,,,,,b,,,,,,,b,b,b,,,,,b,b,b,,,,b,,,b,,,b,,,,b,,,,,B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,